artist,artist_href,life,num_artworks
Geta Bratescu,/en/geta-bratescu,born 1926,46
Maurice Braun,/en/maurice-braun,1877 - 1941,14
Victor Brauner,/en/victor-brauner,1903 - 1966,125
Claudio Bravo,/en/claudio-bravo,1936 - 2011,20
Manuel Alvarez Bravo,/en/manuel-alvarez-bravo,1902 - 2002,11
Victor Brecheret,/en/victor-brecheret,1894 - 1955,20
Arno Breker,/en/arno-breker,1900 - 1991,20
Hans Andersen Brendekilde,/en/hans-andersen-brendekilde,1857 - 1942,86
Jules Breton,/en/jules-breton,1827 - 1906,147
Anne Brigman,/en/anne-brigman,1869 - 1950,22
Serge Brignoni,/en/serge-brignoni,1903 - 2002,16
Paul Bril,/en/paul-bril,1554 - 1626,28
Romero Britto,/en/romero-britto,born 1963,36
Gandy Brodie,/en/gandy-brodie,1924 - 1975,22
Melchior Broederlam,/en/melchior-broederlam,c.1350 - c.1409,8
Stig Brøgger,/en/stig-brogger,born 1941,17
Fyodor Bronnikov,/en/fyodor-bronnikov,1827 - 1902,107
Agnolo Bronzino,/en/agnolo-bronzino,1503 - 1572,84
Marcel Broodthaers,/en/marcel-broodthaers,1924 - 1976,32
James Brooks,/en/james-brooks,1906 - 1992,39
Elina Brotherus,/en/elina-brotherus,born 1972,133
Adriaen Brouwer,/en/adriaen-brouwer,1605 - 1638,43
Stanley Brouwn,/en/stanley-brouwn,born 1935,10
Benjamin Brown,/en/benjamin-brown,1865 - 1942,21
Ford Madox Brown,/en/ford-madox-brown,1821 - 1893,48
Glenn Brown,/en/glenn-brown,born 1966,12
Joan Brown,/en/joan-brown,1938 - 1990,21
Theophilus Brown,/en/theophilus-brown,1919 - 2012,14
Patrick Henry Bruce,/en/patrick-henry-bruce,1881 - 1936,13
Pieter Bruegel the Elder,/en/pieter-bruegel-the-elder,c.1525 - 1569,97
Jan Brueghel the Elder,/en/jan-brueghel-the-elder,1568 - 1625,56
Pieter Brueghel the Younger,/en/pieter-brueghel-the-younger,1564 - 1638,81
Tania Bruguera,/en/tania-bruguera,born 1968,12
Joan Brull,/en/joan-brull,1863 - 1912,157
Filippo Brunelleschi,/en/filippo-brunelleschi,1377 - 1446,13
Bruno Canova,/en/bruno-canova,,4
Giuseppe Bruno,/en/giuseppe-bruno,1836 - 1904,36
Albin Brunovsky,/en/albin-brunovsky,1935 - 1997,20
Camille Bryen,/en/camille-bryen,1907 - 1977,24
Karl Bryullov,/en/karl-bryullov,1799 - 1852,196
Gustave Buchet,/en/gustave-buchet,1888 - 1963,26
Carl Buchheister,/en/carl-buchheister,1890 - 1964,21
Erich Buchholz,/en/erich-buchholz,1891 - 1972,19
Antonio Bueno,/en/antonio-bueno,1918 - 1984,34
Bernard Buffet,/en/bernard-buffet,1928 - 1999,39
Erik Bulatov,/en/erik-bulatov,born 1933,38
Angela Bulloch,/en/angela-bulloch,born 1966,10
Rupert Bunny,/en/rupert-bunny,1864 - 1947,57
Kasumi Bunsho,/en/kasumi-bunsho,1905 - 1998,17
Sever Burada,/en/sever-burada,1896 - 1968,13
Laurel Burch,/en/laurel-burch,1945 - 2007,14
Charles E. Burchfield,/en/charles-e-burchfield,1893 - 1967,24
David Burdeny,/en/david-burdeny,born 1968,16
Daniel Buren,/en/daniel-buren,born 1938,16
Samuel Buri,/en/samuel-buri,born 1935,31
Heinrich Bürkel,/en/heinrich-burkel,1802 - 1869,30
David Burliuk,/en/david-burliuk,1882 - 1967,402
Ian Burn,/en/ian-burn,1939 - 1993,10
Eugène Burnand,/en/eugene-burnand,1850 - 1921,23
Edward Burne-Jones,/en/edward-burne-jones,1833 - 1898,186
Alberto Burri,/en/alberto-burri,1915 - 1995,15
Frederick William Burton,/en/frederick-william-burton,1816 - 1900,9
Pol Bury,/en/pol-bury,1922 - 2005,21
Peter Busa,/en/peter-busa,1914 - 1985,16
Jack Bush,/en/jack-bush,1909 - 1977,104
Yosa Buson,/en/yosa-buson,1716 - 1784,30
Robert William Buss,/en/robert-william-buss,1804 - 1875,28
Jacques Busse,/en/jacques-busse,1922 - 2004,9
Mildred Anne Butler,/en/mildred-anne-butler,1858 - 1941,12
Reg Butler,/en/reg-butler,1913 - 1981,10
Vitold Byalynitsky-Birulya,/en/byalynitskiy-birulya,born 1872,33
James Lee Byars,/en/james-lee-byars,1932 - 1997,33
Byzantine Mosaics,/en/byzantine-mosaics,c.330 - c.1453,255
Alexandre Cabanel,/en/alexandre-cabanel,1823 - 1889,39
Alejandro Cabeza,/en/alejandro-cabeza,born 1971,33
Vincenzo Cabianca,/en/vincenzo-cabianca,1827 - 1902,28
Lilla Cabot Perry,/en/lilla-cabot-perry,1848 - 1933,88
Miguel Cabrera,/en/miguel-cabrera,1695 - 1768,21
Pedro Cabrita Reis,/en/pedro-cabrita-reis,born 1956,10
Andre Cadere,/en/andre-cadere,1934 - 1978,16
Ippolito Caffi,/en/ippolito-caffi,1809 - 1866,28
John Cage,/en/john-cage,1912 - 1992,35
Marcelle Cahn,/en/marcelle-cahn,1895 - 1981,51
Claude Cahun,/en/claude-cahun,1894 - 1954,9
Gustave Caillebotte,/en/gustave-caillebotte,1848 - 1894,216
Pedro Calapez,/en/pedro-calapez,born 1953,16
Alexander Calder,/en/alexander-calder,1898 - 1976,229
Antonio Calderara,/en/antonio-calderara,1903 - 1978,23
Fernando Calhau,/en/fernando-calhau,1948 - 2002,14
Ibrahim Calli,/en/ibrahim-calli,1882 - 1960,7
Stefan Caltia,/en/stefan-caltia,born 1942,44
Jorge Camacho,/en/jorge-camacho,1934 - 2011,10
Jorge González Camarena,/en/jorge-gonzalez-camarena,1908 - 1980,7
Julia Margaret Cameron,/en/julia-margaret-cameron,1815 - 1879,16
Luis Camnitzer,/en/luis-camnitzer,born 1937,20
James Campbell,/en/james-campbell,1828 - 1893,11
James Campbell Noble,/en/james-campbell-noble,1845 - 1913,17
José Campeche,/en/jose-campeche,c.1751 - 1809,13
Heinrich Campendonk,/en/heinrich-campendonk,1889 - 1957,20
Robert Campin,/en/robert-campin,c.1375 - 1444,36
Vincenzo Camuccini,/en/vincenzo-camuccini,1771 - 1844,53
Canaletto,/en/canaletto,1697 - 1768,175
Benjamin Canas,/en/benjamin-canas,1933 - 1987,10
Louis Cane,/en/louis-cane,born 1945,17
Niccolo Cannicci,/en/niccolo-cannicci,1846 - 1906,18
T. C. Cannon,/en/t-c-cannon,1946 - 1978,20
Alonzo Cano,/en/alonzo-cano,1601 - 1667,26
Antonio Canova,/en/antonio-canova,1757 - 1822,23
Mircea Cantor,/en/mircea-cantor,born 1977,14
Josef Capek,/en/josef-capek,1887 - c.1945,149
Marie-Gabrielle Capet,/en/marie-gabrielle-capet-0,1761 - 1818,17
Benedetta Cappa,/en/benedetta,1897 - 1977,16
Leonetto Cappiello,/en/leonetto-cappiello,1875 - 1942,40
Jose Manuel Capuletti,/en/jose-manuel-capuletti,1925 - 1976,15
Caravaggio,/en/caravaggio,1571 - 1610,88
Agustin Cardenas,/en/agustin-cardenas,1927 - 2001,14
Manuel Cargaleiro,/en/manuel-cargaleiro,born 1927,16
Carl Gustav Rodde,/en/carl-gustav-rodde,1830 - 1906,10
Arthur Beecher Carles,/en/arthur-beecher-carles,1882 - 1952,17
Emil Carlsen,/en/emil-carlsen,1853 - 1932,38
Otto Gustav Carlsund,/en/otto-gustav-carlsund,1897 - 1948,36
Franklin Carmichael,/en/franklin-carmichael,1890 - 1945,27
John Wilson Carmichael,/en/john-wilson-carmichael,1800 - 1868,39
Alberto Carneiro,/en/alberto-carneiro,born 1937,12
Antonio Carneiro,/en/antonio-carneiro,1872 - 1930,20
Anthony Caro,/en/anthony-caro,born 1924,14
Carolus-Duran,/en/carolus-duran,1837 - 1917,83
Nicolas Carone,/en/nicolas-carone,1917 - 2010,10
Vittore Carpaccio,/en/vittore-carpaccio,c.1465 - c.1526,53
Jean-Baptiste Carpeaux,/en/jean-baptiste-carpeaux,1827 - 1875,29
Emily Carr,/en/emily-carr,1871 - 1945,45
Kate Carr,/en/kate-carr,born 1976,11
Carlo Carra,/en/carlo-carra,1881 - 1966,77
Agostino Carracci,/en/agostino-carracci,1557 - 1602,50
Annibale Carracci,/en/annibale-carracci,1560 - 1609,82
Michel Carrade,/en/michel-carrade,born 1923,17
Juan Carreno de Miranda,/en/juan-carreno-de-miranda,1614 - 1685,26
Ethel Carrick,/en/ethel-carrick,1872 - 1951,13
Rosalba Carriera,/en/rosalba-carriera,1675 - 1757,38
Eugene Carriere,/en/eugene-carriere,1849 - 1906,20
Lilia Carrillo,/en/lilia-carrillo,1930 - 1974,13
Leonora Carrington,/en/leonora-carrington,1917 - 2011,33
Lewis Carroll,/en/lewis-carroll,1832 - 1898,46
Henri Cartier-Bresson,/en/henri-cartier-bresson,1908 - 2004,20
Ramon Casas,/en/ramon-casas,1866 - 1932,35
Felice Casorati,/en/felice-casorati,1883 - 1963,30
Cassandre,/en/cassandre,1901 - 1968,91
Mary Cassatt,/en/mary-cassatt,1844 - 1926,306
Bruno Cassinari,/en/bruno-cassinari,1912 - 1992,13
Juan Carlos Castagnino,/en/juan-carlos-castagnino,1908 - 1972,12
Andrea del Castagno,/en/andrea-del-castagno,c.1421 - 1457,40
Enrico Castellani,/en/enrico-castellani,born 1930,22
Jorge Castillo,/en/jorge-castillo,born 1933,9
Amilcar de Castro,/en/amilcar-de-castro,1920 - 2002,14
Lourdes Castro,/en/lourdes-castro,born 1930,30
Henri Catargi,/en/henri-catargi,1894 - 1976,30
George Catlin,/en/george-catlin,1796 - 1872,31
Maurizio Cattelan,/en/maurizio-cattelan,born 1960,13
Patrick Caulfield,/en/patrick-caulfield,1936 - 2005,50
Giorgio Cavallon,/en/giorgio-cavallon,1904 - 1989,11
Enrique Martínez Celaya,/en/enrique-martinez-celaya,born 1964,17
Benvenuto Cellini,/en/benvenuto-cellini,1500 - 1571,12
Vija Celmins,/en/vija-celmins,born 1938,11
Pasquale Celommi,/en/pasquale-celommi,1851 - 1928,90
Cennino Cennini,/en/cennino-cennini,c.1360 - c.1427,6
Mario Cesariny,/en/mario-cesariny,1923 - 2006,33
Paul Cezanne,/en/paul-cezanne,1839 - 1906,587
Paul Émile Chabas,/en/paul-emile-chabas,1869 - 1937,17
Roberto Chabet,/en/roberto-chabet,1937 - 2013,11
Marc Chagall,/en/marc-chagall,1887 - 1985,1022
Edgar Chahine,/en/edgar-chahine,1874 - 1947,2
Gaston Chaissac,/en/gaston-chaissac,1910 - 1964,22
Yannoulis Chalepas,/en/yannoulis-chalepas,1851 - 1938,19
John Chamberlain,/en/john-chamberlain,1927 - 2011,25
Alexandre-Jacques Chantron,/en/alexandre-jacques-chantron,1842 - 1918,11
Chaokun Wang,/en/chaokun-wang,born 1992,22
Alonzo Chappel,/en/alonzo-chappel,1828 - 1887,13
Serge Charchoune,/en/serge-charchoune,1889 - 1975,19
Jean-Baptiste-Simeon Chardin,/en/jean-baptiste-simeon-chardin,1699 - 1779,79
Charles Atamian,/en/charles-atamian,1872 - 1947,2
James Charles,/en/james-charles,1851 - 1906,66
Nicolas Toussaint Charlet,/en/charlet,1792 - 1845,30
Alan Charlton,/en/alan-charlton,born 1948,11
Émilie Charmy,/en/emilie-charmy,1878 - 1974,39
Lothar Charoux,/en/lothar-charoux,1912 - 1987,27
William Merritt Chase,/en/william-merritt-chase,1849 - 1916,376
Barbara Chase-Riboud,/en/barbara-chase-riboud,born 1939,14
Theodore Chasseriau,/en/theodore-chasseriau,1819 - 1856,41
Józef Chełmoński,/en/jozef-chelmonski,1849 - 1914,21
Chen Hong,/en/chen-hong,fl.c. 750,3
YiFei  Chen,/en/yifei-chen,born 1946,12
Jules Cheret,/en/jules-cheret,1836 - 1932,34
Sandro Chia,/en/sandro-chia,born 1946,0
Judy Chicago,/en/judy-chicago,born 1939,23
Billy Childish,/en/billy-childish,born 1959,30
Eduardo Chillida,/en/eduardo-chillida,1924 - 2002,17
Galileo Chini,/en/galileo-chini,1873 - 1956,12
Martin Chirino,/en/martin-chirino,born 1925,14
Dan Christensen,/en/dan-christensen,1942 - 2007,45
Carl-Ludwig Johann Christineck,/en/carl-ludwig-johann-christineck,c.1732 - c.1792,29
Christo and Jeanne-Claude,/en/christo-and-jeanne-claude,1958 - 2020,9
Petrus Christus,/en/petrus-christus,c.1410 - c.1475,27
Luke Chueh,/en/luke-chueh,born 1973,15
Frederic Edwin Church,/en/frederic-edwin-church,1826 - 1900,58
Winston Churchill,/en/winston-churchill,1874 - 1965,89
Filippo Cifariello,/en/filippo-cifariello,1864 - 1936,12
Cima da Conegliano,/en/cima-da-conegliano,c.1459 - c.1517,29
Cimabue,/en/cimabue,c.1251 - 1302,18
Antonio Ciseri,/en/antonio-ciseri,1821 - 1891,20
Alexandru Ciucurencu,/en/alexandru-ciucurencu,1903 - 1977,0
Florin Ciulache,/en/florin-ciulache,born 1977,27
Mikalojus Konstantinas Ciurlionis,/en/mikalojus-ciurlionis,1875 - 1911,168
Pieter Claesz,/en/pieter-claesz,1597 - 1660,40
Claricia,/en/claricia,fl.c. 1200,26
Ed Clark,/en/ed-clark,1926 - 2019,25
Lygia Clark,/en/lygia-clark,1920 - 1988,21
Harry Clarke,/en/harry-clarke,1889 - 1931,69
Alexander Clarot,/en/alexander-clarot,1796 - 1842,42
Johann Baptist Clarot,/en/johann-baptist-clarot,1798 - 1855,14
Camille Claudel,/en/camille-claudel,1864 - 1943,14
Claudio Castillo,/en/claudio-castillo,born 1958,12
Emile Claus,/en/emile-claus,1849 - 1924,23
Francesco Clemente,/en/francesco-clemente,born 1952,17
Clarice Cliff,/en/clarice-cliff,1899 - 1972,20
Chuck Close,/en/chuck-close,born 1940,11
Giulio Clovio,/en/giulio-clovio,1498 - 1578,17
Teddy Cobeña,/en/teddy-cobena,born 1973,10
Alvin Langdon Coburn,/en/alvin-langdon-coburn,1882 - 1966,11
Jean Cocteau,/en/jean-cocteau,1889 - 1963,74
Pieter Codde,/en/pieter-codde,1599 - 1678,37
Sue Coe,/en/sue-coe,born 1951,188
Claudio Coello,/en/claudio-coello,1642 - 1693,18
Christo Coetzee,/en/christo-coetzee,1929 - 2000,32
Léon Cogniet,/en/leon-cogniet,1794 - 1880,20
Bernard Cohen,/en/bernard-cohen,born 1933,24
Aurel Cojan,/en/aurel-cojan,1914 - 2005,50
Adnan Coker,/en/adnan-coker,born 1927,28
Thomas Cole,/en/thomas-cole,1801 - 1848,141
John Collier,/en/john-collier,1850 - 1934,34
Jacob Collins,/en/jacob-collins,born 1964,10
William Collins,/en/william-collins,1788 - 1847,76
Gisela Colon,/en/gisela-colon,born 1966,2
Alex Colville,/en/alex-colville,1920 - 2013,76
Fernand Combes,/en/fernand-combes,1856 - 1943,20
Mario Comensoli,/en/mario-comensoli,1922 - 1993,27
Sebastiano Conca,/en/sebastiano-conca,1680 - 1764,35
Alfred Concanen,/en/alfred-concanen,1835 - 1886,15
Charles Conder,/en/charles-conder,1868 - 1909,14
William Congdon,/en/william-congdon,1912 - 1988,15
John Constable,/en/john-constable,1776 - 1837,116
Consuelo Hernández,/en/consuelo-hernandez,born 1950,20
Cassius Marcellus Coolidge,/en/cassius-marcellus-coolidge,1844 - 1934,32
Ron Cooper,/en/ron-cooper,born 1943,10
William Sidney Cooper,/en/william-sidney-cooper,born 1854,16
Cope2,/en/cope2,born 1968,10
John Singleton Copley,/en/john-singleton-copley,1738 - 1815,159
Fern Coppedge,/en/fern-coppedge,1883 - 1951,14
Edward Corbett,/en/edward-corbett,1919 - 1971,17
Le Corbusier,/en/le-corbusier,1887 - 1965,121
Lovis Corinth,/en/lovis-corinth,1858 - 1925,130
Cornbread,/en/cornbread,born 1953,5
Corneille,/en/corneille,1922 - 2010,39
Joseph Cornell,/en/joseph-cornell,1903 - 1972,28
Pedro Coronel,/en/pedro-coronel,1922 - 1985,10
Camille Corot,/en/camille-corot,1796 - 1875,502
Antonio Corpora,/en/antonio-corpora,1909 - 2004,32
Correggio,/en/correggio,c.1489 - 1534,61
Hermann David Salomon Corrodi,/en/hermann-david-salomon-corrodi,1844 - 1905,22
Mary Corse,/en/mary-corse,born 1945,15
Edouard Cortes,/en/edouard-cortes,1882 - 1969,226
Jan Cossiers,/en/jan-cossiers,1600 - 1671,20
Grace Cossington Smith,/en/grace-cossington-smith,1892 - 1984,39
Giovanni (Nino) Costa,/en/giovanni-costa,1826 - 1903,30
Giovanni Costa,/en/giovanni-costa-0,1833 - 1893,31
Placido Costanzi,/en/placido-costanzi,1702 - 1759,13
Frederick George Cotman,/en/frederick-george-cotman,1850 - 1920,36
Roman Cotosman,/en/roman-cotosman,1935 - 2006,10
Charles Cottet,/en/charles-cottet,1863 - 1925,19
Robert Cottingham,/en/robert-cottingham,born 1935,15
Gustave Courbet,/en/gustave-courbet,1819 - 1877,271
Gustave-Claude-Etienne Courtois,/en/gustave-claude-etienne-courtois,1852 - 1923,12
Thomas Couture,/en/thomas-couture,1815 - 1879,27
Frank Cadogan Cowper,/en/frank-cadogan-cowper,1877 - 1958,19
Jan Cox,/en/jan-cox,1919 - 1980,10
Lucas Cranach the Elder,/en/lucas-cranach-the-elder,1472 - 1553,232
Walter Crane,/en/walter-crane,1845 - 1915,96
Rah Crawford,/en/rah-crawford,born 1973,14
Ralston Crawford,/en/ralston-crawford,1906 - 1978,18
Martin Creed,/en/martin-creed,born 1968,19
Tranquillo Cremona,/en/tranquillo-cremona,1837 - 1878,13
Louis-Philippe Crépin,/en/louis-philippe-crepin,1772 - 1851,21
Giuseppe Maria Crespi,/en/giuseppe-maria-crespi,1665 - 1747,47
Cricorps,/en/koboyan-gregoire,born 1953,66
Carlo Crivelli,/en/carlo-crivelli,c.1435 - c.1495,91
John Crome,/en/john-crome,1768 - 1821,57
Henri-Edmond Cross,/en/henri-edmond-cross,1856 - 1910,129
Joaquin Manuel Fernandez Cruzado,/en/joaquin-manuel-fernandez-cruzado,1781 - 1856,11
Carlos Cruz-Diez,/en/carlos-cruz-diez,born 1923,16
Tivadar Kosztka Csontvary,/en/tivadar-kosztka-csontvary,1853 - 1919,44
Enzo Cucchi,/en/enzo-cucchi,born 1949,40
José Luis Cuevas,/en/jose-luis-cuevas,1934 - 2017,15
Modest Cuixart,/en/modest-cuixart,1925 - 2007,50
Charles Courtney Curran,/en/charles-courtney-curran,1861 - 1942,14
Currier and Ives,/en/currier-and-ives,1857 - 1907,207
John Currin,/en/john-currin,born 1962,16
Aelbert Cuyp,/en/aelbert-cuyp,1620 - 1691,17
Bela Czobel,/en/bela-czobel,1883 - 1976,30
Pietro da Cortona,/en/pietro-da-cortona,1596 - 1669,28
Giovanni da Milano,/en/giovanni-da-milano,1325 - 1370,86
Sassoferrato,/en/giovanni-battista-salvi-da-sassoferrato,1609 - 1685,33
Desiderio da Settignano,/en/desiderio-da-settignano,c.1430 - 1464,26
António de Carvalho da Silva Porto,/en/ant-nio-de-carvalho-da-silva-porto,1850 - 1893,19
Leonardo da Vinci,/en/leonardo-da-vinci,1452 - 1519,205
Pellizza da Volpedo,/en/pellizza-da-volpedo,1868 - 1907,19
Daniele da Volterra,/en/daniele-da-volterra,c.1509 - c.1566,14
Leon Dabo,/en/leon-dabo,1864 - 1960,24
Antonio Dacosta,/en/antonio-dacosta,1914 - 1990,13
Dadamaino,/en/dadamaino,1930 - 2004,20
Richard Dadd,/en/richard-dadd,1817 - 1886,15
Dado,/en/dado,1933 - 2010,20
Joseph Dadoune,/en/yosef-joseph-yaakov-dadoune,born 1975,9
Pino Daeni,/en/pino-daeni,1939 - 2010,6
Johan Christian Dahl,/en/johan-christian-dahl,1788 - 1857,18
Helen Dahm,/en/helen-dahm,1878 - 1968,22
Chang Dai-chien,/en/chang-dai-chien,1899 - 1983,19
Salvador Dali,/en/salvador-dali,1904 - 1989,1178
Horia Damian,/en/horia-damian,1922 - 2012,25
Pierre Emmanuel Damoye,/en/pierre-emmanuel-damoye,1847 - 1916,14
Ken Danby,/en/ken-danby,1940 - 2007,15
Danh Vō,/en/danh-vo,born 1975,16
Elin Danielson-Gambogi,/en/danielson-gambogi-elin,1861 - 1919,61
Guan Daosheng,/en/guan-daosheng,1262 - 1319,5
Nassos Daphnis,/en/nassos-daphnis,1914 - 2010,25
Nicolae Darascu,/en/nicolae-darascu,1883 - 1959,46
Hanne Darboven,/en/hanne-darboven,1941 - 2009,15
Allan D'Arcangelo,/en/allan-d-arcangelo,1930 - 1998,15
Jacques Daret,/en/jacques-daret,c.1404 - c.1470,6
Henry Darger,/en/henry-darger,1892 - 1973,26
Sandu Darie,/en/sandu-darie,1908 - 1991,29
Iran Darroudi,/en/iran-darroudi,born 1936,7
Jahar Dasgupta,/en/jahar-dasgupta,born 1942,26
Mostafa Dashti,/en/mostafa-dashti,born 1960,36
Charles-Francois Daubigny,/en/charles-francois-daubigny,1817 - 1878,95
Honore Daumier,/en/honore-daumier,1808 - 1879,255
Pierre Daura,/en/pierre-daura,1896 - 1976,15
Émile Prisse d'Avennes,/en/emile-prisse-davennes,1807 - 1879,12
Ian Davenport,/en/ian-davenport,born 1966,11
David Cox,/en/david-cox,1783 - 1859,157
Gerard David,/en/gerard-david,c.1460 - 1523,54
Jacques-Louis David,/en/jacques-louis-david,1748 - 1825,97
Jean David,/en/jean-david,1908 - 1993,86
David Davies,/en/david-davies,1864 - 1939,13
Jose Davila,/en/jose-davila,born 1974,11
Gene Davis,/en/gene-davis,1920 - 1985,221
Henry William Banks Davis,/en/henry-william-banks-davis,1833 - 1914,24
Ronald Davis,/en/ronald-davis,born 1937,17
Stuart Davis,/en/stuart-davis,1892 - 1964,20
George Dawe,/en/george-dawe,1781 - 1829,272
Adrien Dax,/en/adrien-dax,1913 - 1979,10
Dayou Lu,/en/dayou-lu,born 1958,25
Georgina de Albuquerque,/en/georgina-de-albuquerque,1885 - 1962,14
Hélène de Beauvoir,/en/helene-de-beauvoir,1910 - 2001,33
Édouard De Bièfve,/en/edouard-de-biefve,1808 - 1882,3
Katrien De Blauwer,/en/katrien-de-blauwer,born 1969,26
Giorgio de Chirico,/en/giorgio-de-chirico,1888 - 1978,198
Rudolf de Crignis,/en/rudolf-de-crignis,1948 - 2006,24
Álvaro Pires de Évora,/en/alvaro-pires-de-evora,c.1390 - c.1450,26
Cristovao de Figueiredo,/en/cristovao-de-figueiredo,c.1500 - c.1543,12
Jose de Guimaraes,/en/jose-de-guimaraes,born 1939,18
Meijer de Haan,/en/meijer-de-haan,1852 - 1895,12
Raoul De Keyser,/en/raoul-de-keyser,1930 - 2012,32
Elaine de Kooning,/en/elaine-de-kooning,1918 - 1989,33
Willem de Kooning,/en/willem-de-kooning,1904 - 1997,83
Antonio de La Gándara,/en/antonio-de-la-gandara,1861 - 1917,28
Raimundo de Madrazo,/en/raimundo-madrazo,1841 - 1920,73
Walter De Maria,/en/walter-de-maria,1935 - 2013,14
Adolph de Meyer,/en/adolph-de-meyer,1868 - 1946,18
Evelyn De Morgan,/en/evelyn-de-morgan,1855 - 1919,65
"Robert De Niro, Sr.",/en/robert-de-niro-sr,1922 - 1993,15
Giuseppe de Nittis,/en/giuseppe-de-nittis,1846 - 1884,33
Josefa de Obidos,/en/josefa-de-obidos,1630 - 1684,18
Filippo De Pisis,/en/filippo-de-pisis,1896 - 1956,31
Simplício Rodrigues de Sá,/en/simplicio-de-sa,c.1785 - 1839,10
Fabio de Sanctis,/en/fabio-de-sanctis,born 1931,16
Andres de Santa Maria,/en/andres-de-santa-maria,1860 - 1945,10
Andre Dunoyer de Segonzac,/en/andre-dunoyer-de-segonzac,1884 - 1974,34
Angelo de Sousa,/en/angelo-de-sousa,1938 - 2011,21
Nicolas de Staël,/en/nicolas-de-sta-l,1914 - 1955,47
Charles de Steuben,/en/charles-de-steuben,1788 - 1856,42
Pierre-Henri de Valenciennes,/en/pierre-henri-de-valenciennes,1750 - 1819,35
Michela De Vito,/en/michela-de-vito,fl.c. 1820,13
Simon de Vlieger,/en/simon-de-vlieger,c.1601 - 1653,50
Maarten de Vos,/en/maarten-de-vos,1532 - 1603,47
Herman de Vries,/en/herman-de-vries,born 1931,27
Richard Deacon,/en/richard-deacon,born 1949,10
Edouard Debat-Ponsan,/en/edouard-debat-ponsan,1847 - 1913,13
Olivier Debre,/en/olivier-debre,1920 - 1999,49
Joseph DeCamp,/en/joseph-decamp,1858 - 1923,53
Alexandre-Gabriel Decamps,/en/alexandre-gabriel-decamps,1803 - 1860,54
Jay DeFeo,/en/jay-defeo,1929 - 1989,18
Edgar Degas,/en/edgar-degas,1834 - 1917,625
Jean Degottex,/en/jean-degottex,1918 - 1988,58
Alfred Dehodencq,/en/alfred-dehodencq,1822 - 1882,54
Deiryu,/en/deiryu,1895 - 1954,16
Antonio del Pollaiolo,/en/antonio-del-pollaiolo,1429 - 1498,21
Francesco del Cossa,/en/francesco-del-cossa,c.1430 - c.1477,95
Félix Del Marle,/en/f-lix-del-marle,1889 - 1952,32
Andrea del Verrocchio,/en/andrea-del-verrochio,c.1435 - 1488,27
Carmen Delaco,/en/carmen-delaco,born 1976,38
Eugene Delacroix,/en/eugene-delacroix,1798 - 1863,231
Beauford Delaney,/en/beauford-delaney,1901 - 1979,55
Tony DeLap,/en/tony-delap,born 1927,19
Paul Delaroche,/en/paul-delaroche,1797 - 1856,35
Robert Delaunay,/en/robert-delaunay,1885 - 1941,34
Sonia Delaunay,/en/sonia-delaunay,1885 - 1979,101
Carles Delclaux Is,/en/carles-delclaux-is,born 1951,17
Piero della Francesca,/en/piero-della-francesca,1412 - 1492,87
Saverio della Gatta,/en/saverio-della-gatta,1758 - c.1828,56
Raphael Delorme,/en/raphael-delorme,1885 - 1962,29
Paul Delvaux,/en/paul-delvaux,1897 - 1994,132
Robert Demachy,/en/robert-demachy,1859 - 1936,24
Lucia Demetriade Balacescu,/en/lucia-demetriade-balacescu,1895 - 1979,22
Charles Demuth,/en/charles-demuth,1883 - 1935,47
Maurice Denis,/en/maurice-denis,1870 - 1943,65
Andre Derain,/en/andre-derain,1880 - 1954,136
Jiménez Deredia,/en/jimenez-deredia,born 1954,15
Claude Deruet,/en/claude-deruet,1588 - 1660,11
Charles Despiau,/en/charles-despiau,1874 - 1946,15
Gebre Kristos Desta,/en/gebre-kristos-desta,1932 - 1981,16
Thomas Dewing,/en/thomas-dewing,1851 - 1938,75
Aleksandr Deyneka,/en/aleksandr-deyneka,1899 - 1969,18
Daniel Dezeuze,/en/daniel-dezeuze,born 1942,20
Emiliano Di Cavalcanti,/en/emiliano-di-cavalcanti,1897 - 1976,20
Piero di Cosimo,/en/piero-di-cosimo,1462 - 1522,22
Kexin Di,/en/kexin-di,born c.1984,20
Mark di Suvero,/en/mark-di-suvero,born 1933,15
Luca di Tommé,/en/luca-di-tomme,c.1330 - c.1389,41
Martha Diamond,/en/martha-diamond,born 1944,10
Narcisse-Virgilio Diaz,/en/narcisse-virgilio-diaz,1807 - 1876,15
Jan Dibbets,/en/jan-dibbets,born 1941,10
Edwin Dickinson,/en/edwin-dickinson,1891 - 1978,28
Frank Dicksee,/en/frank-dicksee,1853 - 1928,24
Thomas Francis Dicksee,/en/thomas-francis-dicksee,1819 - 1895,13
Francesco Didioni,/en/francesco-didioni,1839 - 1895,28
Richard Diebenkorn,/en/richard-diebenkorn,1922 - 1993,92
Adolf Dietrich,/en/adolf-dietrich,1877 - 1957,29
Laddie John Dill,/en/laddie-john-dill,born 1943,19
Burgoyne Diller,/en/burgoyne-diller,1906 - 1965,0
Stefan Dimitrescu,/en/stefan-dimitrescu,1886 - 1933,27
Vladimir Dimitrov,/en/vladimir-dimitrov,1882 - 1960,33
Jim Dine,/en/jim-dine,born 1935,35
Nasreddine Dinet,/en/nasreddine-dinet,1861 - 1929,54
Abidin Dino,/en/abidin-dino,1913 - 1993,54
